Route,Mode,Infraction,Count
r33_town05_ins_rl,NPC,outside_route_lanes,1
r33_town05_ins_rl,No NPC,collisions_vehicle,2
r33_town05_ins_rl,No NPC,outside_route_lanes,1
r33_town05_ins_rl,No NPC,route_timeout,1
r33_town05_ins_rl,No NPC,vehicle_blocked,1
r34_town05_ins_rl,NPC,collisions_vehicle,2
r34_town05_ins_rl,No NPC,outside_route_lanes,1
r35_town05_ins_crosschange,NPC,collisions_layout,2
r35_town05_ins_crosschange,NPC,collisions_vehicle,14
r35_town05_ins_crosschange,NPC,outside_route_lanes,1
r35_town05_ins_crosschange,NPC,route_timeout,2
r35_town05_ins_crosschange,No NPC,collisions_vehicle,2
r35_town05_ins_crosschange,No NPC,route_timeout,4
r36_town05_ins_crosschange,NPC,collisions_layout,1
r36_town05_ins_crosschange,NPC,collisions_vehicle,5
r36_town05_ins_crosschange,NPC,outside_route_lanes,1
r36_town05_ins_crosschange,NPC,route_timeout,1
r36_town05_ins_crosschange,No NPC,collisions_layout,1
r36_town05_ins_crosschange,No NPC,collisions_vehicle,6
r36_town05_ins_crosschange,No NPC,outside_route_lanes,1
r36_town05_ins_crosschange,No NPC,route_timeout,1
r37_town05_ins_chaos,NPC,collisions_layout,4
r37_town05_ins_chaos,NPC,collisions_vehicle,8
r37_town05_ins_chaos,NPC,outside_route_lanes,5
r37_town05_ins_chaos,NPC,route_timeout,3
r37_town05_ins_chaos,NPC,vehicle_blocked,1
r37_town05_ins_chaos,No NPC,collisions_layout,3
r37_town05_ins_chaos,No NPC,collisions_vehicle,4
r37_town05_ins_chaos,No NPC,outside_route_lanes,6
r37_town05_ins_chaos,No NPC,route_timeout,2
r37_town05_ins_chaos,No NPC,vehicle_blocked,1
r38_town05_ins_chaos,No NPC,collisions_layout,6
r38_town05_ins_chaos,No NPC,collisions_vehicle,18
r38_town05_ins_chaos,No NPC,outside_route_lanes,4
r38_town05_ins_chaos,No NPC,route_timeout,3
r38_town05_ins_chaos,No NPC,vehicle_blocked,2
r39_town06_hw_c,No NPC,collisions_vehicle,6
r39_town06_hw_c,No NPC,outside_route_lanes,1
r3_town05_ins_c,NPC,collisions_vehicle,8
r3_town05_ins_c,NPC,outside_route_lanes,2
r3_town05_ins_c,No NPC,outside_route_lanes,1
r40_town06_hw_c,No NPC,collisions_layout,1
r40_town06_hw_c,No NPC,collisions_vehicle,3
r40_town06_hw_c,No NPC,outside_route_lanes,1
r40_town06_hw_c,No NPC,route_timeout,2
r41_town05_ins_oppo,No NPC,collisions_vehicle,5
r41_town05_ins_oppo,No NPC,outside_route_lanes,2
r42_town05_ins_rl,No NPC,outside_route_lanes,2
r43_town05_ins_crosschange,No NPC,collisions_layout,1
r43_town05_ins_crosschange,No NPC,collisions_vehicle,9
r43_town05_ins_crosschange,No NPC,outside_route_lanes,1
r44_town05_ins_chaos,No NPC,collisions_layout,3
r44_town05_ins_chaos,No NPC,collisions_vehicle,13
r44_town05_ins_chaos,No NPC,outside_route_lanes,5
r44_town05_ins_chaos,No NPC,route_timeout,3
r45_town06_hw_merge,No NPC,collisions_vehicle,2
r46_town06_hw_c,No NPC,collisions_layout,10
r46_town06_hw_c,No NPC,collisions_vehicle,18
r46_town06_hw_c,No NPC,outside_route_lanes,3
r46_town06_hw_c,No NPC,vehicle_blocked,4
r4_town06_ins_c,NPC,collisions_vehicle,2
r4_town06_ins_c,No NPC,collisions_vehicle,2
r5_town06_ins_c,NPC,collisions_vehicle,2
r5_town06_ins_c,No NPC,collisions_vehicle,2
r6_town07_ins_c,NPC,collisions_vehicle,4
r6_town07_ins_c,NPC,outside_route_lanes,1
r6_town07_ins_c,No NPC,collisions_vehicle,4
r6_town07_ins_c,No NPC,outside_route_lanes,2
r8_town05_ins_ss,NPC,collisions_vehicle,2
r8_town05_ins_ss,NPC,vehicle_blocked,1
r8_town05_ins_ss,No NPC,collisions_vehicle,2
r9_town06_ins_ss,NPC,collisions_vehicle,3
r9_town06_ins_ss,NPC,route_timeout,1
r9_town06_ins_ss,No NPC,collisions_vehicle,2
